aiA,Borys Lang,Attack Helicopter,manymagpie,moonmoth,user,,
29,0.248598678,0.133637212,0.358643838,0.259120272,manymagpie,,
30,0.101118074,0.677640968,0.114775542,0.106465417,Attack Helicopter,,
31,0.108736567,0.652842662,0.124812922,0.113607848,Attack Helicopter,,
32,0.410175733,0.05557926,0.373252227,0.160992779,manymagpie,,
33,0.16946202,0.154449239,0.148586655,0.527502086,moonmoth,,
34,0.253844962,0.368375975,0.281557099,0.096221965,Attack Helicopter,,
35,0.106533085,0.4501023,0.09779788,0.345566735,Attack Helicopter,,
36,0.194127834,0.397505581,0.17868925,0.229677335,Attack Helicopter,,
37,0.139345749,0.378137714,0.116220754,0.366295783,Attack Helicopter,,
38,0.109744988,0.443857645,0.099946238,0.34645113,Attack Helicopter,,
39,0.085403328,0.315872925,0.075231245,0.523492502,Attack Helicopter,,
40,0.100594068,0.379859858,0.091323602,0.428222472,moonmoth,,
41,0.78850719,0.069722967,0.076824004,0.06494584,Borys Lang,,
42,0.046957562,0.246682241,0.507819875,0.198540322,manymagpie,,
43,0.498169521,0.164173503,0.104147683,0.233509293,Borys Lang,,
44,0.105805243,0.419934181,0.25204473,0.222215846,Attack Helicopter,,
45,0.563757613,0.158554477,0.171594321,0.106093588,Borys Lang,,
46,0.241595966,0.179789895,0.467086663,0.111527476,manymagpie,,
47,0.072479338,0.364675476,0.094495042,0.468350145,Attack Helicopter,,
48,0.378423788,0.265150889,0.101168147,0.255257176,Borys Lang,,
49,0.281213576,0.156200592,0.415366742,0.14721909,manymagpie,,
50,0.148624417,0.513740226,0.106339823,0.231295534,Attack Helicopter,,
51,0.322837451,0.07096351,0.466971355,0.139227683,Borys Lang,,
52,0.279014256,0.086118371,0.495275097,0.139592277,manymagpie,,
53,0.299982464,0.358414824,0.136560487,0.205042225,Attack Helicopter,,
54,0.264899334,0.38965761,0.236167929,0.109275127,manymagpie,,
55,0.280653837,0.143651439,0.136560244,0.43913448,Borys Lang,,
56,0.156908413,0.243179234,0.436532595,0.163379758,manymagpie,,
57,0.371187777,0.262741683,0.230488807,0.135581733,Borys Lang,,
58,0.342068785,0.23031471,0.266580738,0.161035768,Borys Lang,,
59,0.390775499,0.296151831,0.181669819,0.131402851,Borys Lang,,
60,0.146353367,0.615906222,0.142548242,0.09519217,Attack Helicopter,,
61,0.291880489,0.118865002,0.45477851,0.134476,manymagpie,,
62,0.112410872,0.555685417,0.099081078,0.232822632,Attack Helicopter,,
63,0.403265988,0.110897635,0.166594579,0.319241798,Borys Lang,,
64,0.210643839,0.399253558,0.226831466,0.163271137,Attack Helicopter,,
65,0.21573208,0.295591447,0.083516741,0.405159733,Attack Helicopter,,
66,0.205770686,0.222640246,0.168311719,0.403277349,moonmoth,,
67,0.17970212,0.142617345,0.37477835,0.302902185,manymagpie,,
68,0.186681047,0.551681595,0.121393506,0.140243852,Attack Helicopter,,
69,0.427537678,0.180967494,0.170124112,0.221370716,Borys Lang,,
70,0.396672252,0.101101921,0.259015666,0.243210162,Borys Lang,,
71,0.275076009,0.263168447,0.257526789,0.204228756,Attack Helicopter,,
aiA,Borys Lang,Attack Helicopter,manymagpie,moonmoth,user,,
0,1,0,0,0,Borys Lang,,
1,0.261721138,0.738278862,0,0,Attack Helicopter,,
2,0.676800957,0.323199043,0,0,Borys Lang,,
3,0.239214594,0.760785406,0,0,Attack Helicopter,,
4,0.618881994,0.381118006,0,0,Borys Lang,,
5,0.205969968,0.273125079,0.520904953,0,manymagpie,,
6,0.344497574,0.498663024,0.156839402,0,Attack Helicopter,,
7,0.421891093,0.437669881,0.140439026,0,Borys Lang,,
8,0.277993257,0.497332314,0.224674429,0,Attack Helicopter,,
9,0.404555919,0.3399797,0.255464381,0,Borys Lang,,
10,0.281482686,0.542268303,0.176249011,0,Attack Helicopter,,
11,0.149093699,0.350348336,0.500557965,0,manymagpie,,
12,0.429585898,0.180681928,0.389732174,0,manymagpie,,
13,0.677722193,0.189446251,0.132831556,0,Borys Lang,,
14,0.109709324,0.261392699,0.628897977,0,manymagpie,,
15,0.517029875,0.34611638,0.136853745,0,Borys Lang,,
16,0.174461421,0.471091488,0.354447091,0,manymagpie,,
17,0.450638565,0.247018816,0.302342619,0,Borys Lang,,
18,0.140394531,0.742285636,0.117319833,0,Attack Helicopter,,
19,0.365843782,0.087438253,0.546717965,0,manymagpie,,
20,0.218742374,0.601165022,0.180092604,0,Attack Helicopter,,
21,0.469574057,0.162027745,0.368398198,0,Borys Lang,,
22,0.13636415,0.129610648,0.156152537,0.577872664,moonmoth,,
23,0.276230567,0.391480482,0.223354835,0.108934116,Attack Helicopter,,
24,0.240339713,0.326809469,0.35517615,0.077674668,manymagpie,,
25,0.211483691,0.281476899,0.419546936,0.087492474,manymagpie,,
26,0.215180453,0.453685306,0.146463771,0.18467047,Attack Helicopter,,
27,0.416565561,0.316686735,0.096914769,0.169832935,Borys Lang,,
28,0.095425732,0.35884633,0.458455874,0.087272064,Attack Helicopter,,
29,0.333972577,0.118973565,0.367127648,0.179926209,manymagpie,,
30,0.101650213,0.683203843,0.114634997,0.100510947,Attack Helicopter,,
31,0.104839688,0.672860755,0.119307053,0.102992504,Attack Helicopter,,
32,0.294179665,0.052897191,0.385919275,0.267003869,manymagpie,,
33,0.190144144,0.131448616,0.154321587,0.524085653,moonmoth,,
34,0.292552143,0.293729904,0.337457409,0.076260543,Attack Helicopter,,
35,0.113752496,0.491482841,0.099507565,0.295257098,Attack Helicopter,,
36,0.196998875,0.417361959,0.13495018,0.250688985,Attack Helicopter,,
37,0.089726813,0.256766732,0.074621821,0.578884634,Attack Helicopter,,
38,0.112681632,0.467969844,0.097569099,0.321779425,Attack Helicopter,,
39,0.101968308,0.371007215,0.086967695,0.440056781,Attack Helicopter,,
40,0.091410311,0.431158796,0.079048907,0.398381986,moonmoth,,
41,0.817821422,0.059145246,0.06401129,0.059022042,Borys Lang,,
42,0.038054802,0.252746264,0.510368103,0.198830831,manymagpie,,
43,0.53820213,0.159500024,0.1026348,0.199663046,Borys Lang,,
44,0.096419545,0.430761204,0.254811723,0.218007528,Attack Helicopter,,
45,0.568087125,0.154959195,0.16897069,0.10798299,Borys Lang,,
46,0.232506934,0.197469618,0.461822994,0.108200455,manymagpie,,
47,0.048722499,0.248321581,0.064403967,0.638551953,Attack Helicopter,,
48,0.364365417,0.281570452,0.10120529,0.252858841,Borys Lang,,
49,0.210943881,0.163753337,0.478860427,0.146442354,manymagpie,,
50,0.152221671,0.519802916,0.099772977,0.228202437,Attack Helicopter,,
51,0.436706854,0.093628152,0.282944483,0.18672051,Borys Lang,,
52,0.335573119,0.079103672,0.455123326,0.130199883,manymagpie,,
53,0.309785877,0.347861381,0.15488168,0.187471063,Attack Helicopter,,
54,0.203539967,0.313089695,0.303078532,0.180291805,manymagpie,,
55,0.272219545,0.120428833,0.154289685,0.453061937,Borys Lang,,
