aiA,Borys Lang,Attack Helicopter,manymagpie,moonmoth,user
36,0.24494986768813304,0.25656778857505685,0.2530309388331353,0.24545140490367476,Attack Helicopter
37,0.2504870566424941,0.25204978433997216,0.2461735856653311,0.25128957335220264,Attack Helicopter
38,0.2505994096299651,0.25263907837872523,0.24540064108693668,0.25136087090437303,Attack Helicopter
39,0.2511287214586557,0.2511787559400788,0.2473348142362083,0.25035770836505716,Attack Helicopter
40,0.24831770014606214,0.24824718521259959,0.2515627982847742,0.2518723163565641,moonmoth
41,0.2694537930196225,0.25422316043821036,0.239145907519034,0.23717713902313312,Borys Lang
42,0.24436455904952545,0.2538683370407911,0.2544486459872462,0.24731845792243726,manymagpie
43,0.7455679581035092,0.1063837593660355,0.14660514377768724,0.001443138752768048,Borys Lang
44,0.03349729867454718,0.3246577324430294,0.3230618851060839,0.3187830837763395,Attack Helicopter
45,0.25791253383434676,0.24459956370191543,0.24860348240927574,0.2488844200544621,Borys Lang
46,0.23637485841165543,0.24398533339638784,0.2631540287476787,0.25648577944427803,manymagpie
47,0.25563238647998426,0.25661112729344865,0.2359512837610518,0.25180520246551524,Attack Helicopter
48,0.2553992133769906,0.24600232811085238,0.24546194285291173,0.2531365156592453,Borys Lang
49,0.24545374248036536,0.2508680087833388,0.261493515170178,0.24218473356611783,manymagpie
50,0.00993607196371982,0.7723743523270741,0.13266394547513324,0.08502563023407286,Attack Helicopter
51,0.3378020143878678,0.005834009701828163,0.3337230723607379,0.32264090354956615,Borys Lang
52,0.3220124100877897,0.004335289313182805,0.3377126117409849,0.3359396888580426,manymagpie
53,0.24544127309432176,0.2529620049084883,0.2519797976170191,0.24961692438017077,Attack Helicopter
54,0.23488226350058805,0.24726183128758297,0.2607169494821998,0.25713895572962914,manymagpie
55,0.2674018132213855,0.2597022479218491,0.22633481387163992,0.2465611249851255,Borys Lang
56,0.23954723764690136,0.2523150036397924,0.2584622804876578,0.24967547822564845,manymagpie
57,0.25705172106069174,0.24925564819720383,0.238511677286314,0.25518095345579045,Borys Lang
58,0.25155676586740655,0.250626571038236,0.24762796045285035,0.2501887026415071,Borys Lang
59,0.2664208137474372,0.24774288377121417,0.2293067890944968,0.2565295133868518,Borys Lang
60,0.24596662157421642,0.2646798990301011,0.23911406050835937,0.25023941888732315,Attack Helicopter
61,0.23496651755499398,0.24516879885207424,0.26239272114953605,0.25747196244339576,manymagpie
62,0.08483353971324588,0.6117996944651055,0.15353396472932834,0.14983280109232025,Attack Helicopter
63,0.3149121048955331,0.07497377447432221,0.2980554092390339,0.31205871139111074,Borys Lang
64,0.24621897781775356,0.255379157087726,0.24807338664711784,0.2503284784474026,Attack Helicopter
65,0.2472551679860049,0.25294625769774787,0.24864854824549185,0.2511500260707554,Attack Helicopter
66,0.2536888362833672,0.2503232777106758,0.2419593096538735,0.2540285763520835,moonmoth
67,0.23261551595616983,0.2567022903918696,0.2717417061208367,0.23894048753112387,manymagpie
68,0.09699767620441843,0.7329382979139356,0.10348420803043552,0.06657981785121046,Attack Helicopter
69,0.33706719419130093,0.010950196839550421,0.32134299390545046,0.3306396150636982,Borys Lang
70,0.3352964705254699,0.07205653117243999,0.26275759090259276,0.32988940739949735,Borys Lang
71,0.2581453983378042,0.2603791016280833,0.22152929229508164,0.2599462077390309,Attack Helicopter
aiA,Borys Lang,Attack Helicopter,manymagpie,moonmoth,user
0,1.0,0,0,0,Borys Lang
1,0.4766672947909181,0.5233327052090819,0,0,Attack Helicopter
2,0.5092837995794038,0.49071620042059616,0,0,Borys Lang
3,0.4975425514015708,0.5024574485984292,0,0,Attack Helicopter
4,0.5225122909646838,0.4774877090353162,0,0,Borys Lang
5,0.3100040047637268,0.33776124784868605,0.35223474738758714,0,manymagpie
6,0.32813782868579255,0.34304664143894137,0.3288155298752661,0,Attack Helicopter
7,0.3400871083692055,0.3338077099229926,0.32610518170780195,0,Borys Lang
8,0.32506995301484964,0.35269166066556856,0.32223838631958174,0,Attack Helicopter
9,0.3545679095002688,0.34559517653522315,0.29983691396450807,0,Borys Lang
10,0.3490603455411571,0.35024486243978126,0.3006947920190617,0,Attack Helicopter
11,0.3244508087109531,0.3255295197554646,0.35001967153358227,0,manymagpie
12,0.3324874556770216,0.3288085561058581,0.33870398821712033,0,manymagpie
13,0.7963068299162459,0.16842334737104478,0.035269822712709335,0,Borys Lang
14,0.04336717964257659,0.4762260504369818,0.4804067699204416,0,manymagpie
15,0.33506320964611847,0.3334484680275448,0.33148832232633674,0,Borys Lang
16,0.33415676846913483,0.32852576855498616,0.337317462975879,0,manymagpie
17,0.34234007921897264,0.32804192717466724,0.3296179936063601,0,Borys Lang
18,0.33218162656158046,0.3372760438471331,0.3305423295912865,0,Attack Helicopter
19,0.32531810029315167,0.3352100259158359,0.3394718737910125,0,manymagpie
20,0.3388708721576699,0.3424688611932565,0.3186602666490736,0,Attack Helicopter
21,0.33997284021391044,0.3353380266691956,0.32468913311689396,0,Borys Lang
22,0.2546521628590742,0.24425132531051227,0.2427089671526041,0.2583875446778094,moonmoth
23,0.24969479595987532,0.2527162809354856,0.2489118781374009,0.24867704496723822,Attack Helicopter
24,0.25171021766439894,0.2505064311134644,0.25572237207209103,0.24206097915004562,manymagpie
25,0.2502333837336836,0.24854400817420766,0.25109202754341126,0.2501305805486975,manymagpie
26,0.2446471460900689,0.25359949979098756,0.2493291157484592,0.25242423837048433,Attack Helicopter
27,0.25732711081155185,0.24114229018422098,0.2531200034896774,0.2484105955145498,Borys Lang
28,0.2564047242495568,0.2590350611955312,0.24620106358485458,0.23835915097005736,Attack Helicopter
29,0.2481726733302027,0.23795950148782435,0.2575001616166056,0.2563676635653673,manymagpie
30,0.24885676302667725,0.4325825409082382,0.1660711588300639,0.15248953723502062,Attack Helicopter
31,0.012209824528042161,0.7015613714087923,0.1275971006765069,0.15863170338665863,Attack Helicopter
32,0.3200145904326826,0.037877527108776364,0.32297183273772223,0.31913604972081877,manymagpie
33,0.3327063060284408,0.004421587203269651,0.32997142432571613,0.33290068244257337,moonmoth
34,0.24818305471679875,0.2524579155951225,0.25164194094646436,0.24771708874161438,Attack Helicopter
35,0.24982618342648155,0.2507067016441187,0.24912307190696048,0.2503440430224393,Attack Helicopter
36,0.24410703215731894,0.2604360886160531,0.2524721278993749,0.24298475132725306,Attack Helicopter
37,0.25013991578903527,0.2509780192938682,0.249380693494037,0.2495013714230595,Attack Helicopter
38,0.25107523955671734,0.253848120465504,0.24521957428416227,0.24985706569361643,Attack Helicopter
