nonself,,,,,,,
aiA,User1,User2,User3,user,,,
28,0.574186,0.095073,0.33074,moonmoth,,,
29,0.220006,0.468157,0.311837,Borys Lang,,,
30,0.216358,0.365725,0.417917,Attack Helicopter,,,
31,0.278739,0.469308,0.251954,manymagpie,,,
32,0.385373,0.381598,0.233028,manymagpie,,,
33,0.318827,0.395683,0.28549,Borys Lang,,,
34,0.543062,0.10071,0.356228,manymagpie,,,
35,0.329731,0.208646,0.461623,Borys Lang,,,
36,0.179128,0.517218,0.303654,manymagpie,,,
37,0.184977,0.559565,0.255458,Borys Lang,,,
38,0.410838,0.260633,0.328528,Borys Lang,,,
39,0.375854,0.291355,0.33279,Borys Lang,,,
40,0.208703,0.05171,0.739587,moonmoth,,,
41,0.509342,0.240394,0.250265,Attack Helicopter,,,
42,0.573164,0.212301,0.214535,manymagpie,,,
43,0.49796,0.344236,0.157804,manymagpie,,,
44,0.151641,0.175176,0.673183,Attack Helicopter,,,
45,0.111007,0.124707,0.764286,Attack Helicopter,,,
46,0.293769,0.428244,0.277987,Borys Lang,,,
47,0.128446,0.721236,0.150318,Attack Helicopter,,,
48,0.336956,0.129525,0.53352,manymagpie,,,
49,0.054088,0.328823,0.617089,Attack Helicopter,,,
50,0.335603,0.259878,0.404519,Borys Lang,,,
51,0.30942,0.480229,0.210351,moonmoth,,,
52,0.047613,0.019498,0.932889,Attack Helicopter,,,
53,0.324989,0.336478,0.338534,Borys Lang,,,
54,0.676379,0.021024,0.302598,manymagpie,,,
55,0.25661,0.481856,0.261534,manymagpie,,,
56,0.143682,0.773181,0.083137,Attack Helicopter,,,
57,0.262188,0.155966,0.581846,Attack Helicopter,,,
58,0.249936,0.378409,0.371656,Borys Lang,,,
59,0.597993,0.180157,0.221851,Attack Helicopter,,,
60,0.58798,0.227236,0.184784,Attack Helicopter,,,
make_your_bedA,User1,User2,User3,User4,User5,user,user
0,0.2,0.2,0.2,0.2,0.2,Gary,
1,1,0,0,0,0,Ursula,
2,0.391584,0.608416,0,0,0,Mary,
3,0.493934,0.506066,0,0,0,Gary,
4,0.115226,0.522719,0.362055,0,0,Bobby,
5,0.117131,0.397354,0.251346,0.234168,0,Daisy,
6,0.175903,0.364817,0.223867,0.235413,0,Ursula,
7,0.188388,0.406892,0.200025,0.204695,0,Mary,
8,0.109301,0.182648,0.146344,0.561708,0,Bobby,
9,0.283668,0.463057,0.111873,0.141403,0,Gary,
10,0.192985,0.205052,0.167494,0.434468,0,Bobby,
11,0.354551,0.277284,0.140581,0.227583,0,Gary,
12,0.30947,0.354677,0.133601,0.202253,0,Mary,
13,0.2468,0.218085,0.139527,0.395587,0,Bobby,
14,0.406489,0.225877,0.189696,0.177939,0,Mary,
15,0.20837,0.142364,0.333264,0.316002,0,Ursula,
16,0.197534,0.37498,0.235309,0.192177,0,Gary,
17,0.177491,0.12205,0.35032,0.172161,0.177978,Alex,
