self,,,,,,,
aiA,Borys Lang,Attack Helicopter,manymagpie,moonmoth,user,,
59,0.265699476,0.490843963,0.109354217,0.134102344,Attack Helicopter,,
60,0.308887616,0.373803107,0.159402471,0.157906805,Attack Helicopter,,
make_your_bedA,Gary,Ursula,Mary,Bobby,Daisy,Alex,user
0,1,0,0,0,0,0,Gary
1,0.191453503,0.808546497,0,0,0,0,Ursula
2,0.278242969,0.187169695,0.534587336,0,0,0,Mary
3,0.63894115,0.144215158,0.216843692,0,0,0,Gary
4,0.08258577,0.355180465,0.134468256,0.427765509,0,0,Bobby
5,0.0930752,0.261713199,0.119380776,0.177065619,0.348765206,0,Daisy
6,0.157019942,0.327839502,0.263481338,0.102040739,0.149618479,0,Ursula
7,0.156602629,0.197514124,0.441186808,0.099311602,0.105384838,0,Mary
8,0.101102934,0.143023004,0.090578998,0.435331231,0.229963834,0,Bobby
9,0.284670182,0.154010356,0.427681662,0.060114371,0.07352343,0,Gary
10,0.094842067,0.121088465,0.095138323,0.535846672,0.153084472,0,Bobby
11,0.412874614,0.222012766,0.17565074,0.076426031,0.113035849,0,Gary
12,0.185409713,0.239951284,0.394679017,0.063902564,0.116057422,0,Mary
13,0.154252062,0.206145774,0.118815037,0.344540829,0.176246298,0,Bobby
14,0.147256048,0.206672672,0.418842278,0.115728353,0.11150065,0,Mary
15,0.207376449,0.403519696,0.087105764,0.19870773,0.103290361,0,Ursula
16,0.353069301,0.095330878,0.333348645,0.119543487,0.098707689,0,Gary
17,0.245004219,0.078748672,0.199768224,0.105151546,0.087440384,0.283886956,Alex
18,0.258620625,0.071134194,0.167267654,0.255553522,0.090747405,0.156676601,Bobby
19,0.116795063,0.107508746,0.105883933,0.341164263,0.162226628,0.166421367,Bobby
20,0.076145549,0.094678012,0.073342307,0.120658183,0.547215457,0.087960492,Daisy
21,0.279321116,0.076531006,0.288219316,0.113004074,0.039858687,0.203065801,Mary
22,0.404442006,0.074461031,0.178018354,0.081226661,0.031508474,0.230343474,Alex
23,0.248153349,0.072731801,0.355652284,0.09558403,0.044379594,0.183498944,Mary
24,0.094571786,0.108440382,0.078653709,0.5575044,0.062167967,0.098661756,Bobby
25,0.238474075,0.16008317,0.122183266,0.070764948,0.05124597,0.357248571,Alex
26,0.252636563,0.110274555,0.139226447,0.078106201,0.051722496,0.368033738,Alex
27,0.176920958,0.106455663,0.283481355,0.062105598,0.039579628,0.331456798,Mary
28,0.431332083,0.072754597,0.131593489,0.04324521,0.037094161,0.283980459,Alex
29,0.462004068,0.089352283,0.115955123,0.193863873,0.05978701,0.079037643,Gary
30,0.061205277,0.101006267,0.336778647,0.056947387,0.043776421,0.400286001,Mary
31,0.109680097,0.118281811,0.137259395,0.079265075,0.087537911,0.467975712,Alex
32,0.082864704,0.074729137,0.071741755,0.661751819,0.047652547,0.061260037,Bobby
33,0.381847148,0.094190496,0.289639414,0.036874009,0.051987329,0.145461604,Gary
34,0.218414042,0.353013223,0.213695281,0.039165756,0.046071861,0.129639836,Ursula
35,0.260347603,0.202381351,0.338300297,0.0349484,0.047940375,0.116081974,Mary
36,0.248283258,0.267984356,0.302764722,0.032246286,0.041520626,0.107200751,Mary
37,0.076187911,0.073149383,0.082284995,0.580185945,0.107945376,0.080246389,Bobby
38,0.130469859,0.131646083,0.181273875,0.080756184,0.067906923,0.407947076,Alex
39,0.114919466,0.099413245,0.123905929,0.078027833,0.382116729,0.201616798,Daisy
40,0.315320046,0.266561237,0.177645922,0.040455357,0.092897834,0.107119603,Gary
41,0.085477839,0.076468793,0.082564295,0.508164265,0.149354055,0.097970753,Bobby
42,0.353449077,0.102655529,0.113165232,0.074929496,0.166686247,0.189114419,Gary
43,0.157137237,0.117213009,0.103152623,0.074914217,0.100425595,0.447157319,Alex
44,0.078515015,0.06730646,0.072243184,0.645369281,0.073842742,0.062723318,Bobby
45,0.102949941,0.289931211,0.375602051,0.037937473,0.113259035,0.080320289,Mary
46,0.241030369,0.296874331,0.096899611,0.031946899,0.242804764,0.090444026,Ursula
47,0.134682734,0.144776954,0.13574571,0.039487208,0.106477514,0.438829879,Alex
48,0.110254262,0.140484511,0.442116879,0.041715763,0.1333103,0.132118284,Mary
49,0.354397236,0.149250013,0.116538641,0.03619017,0.10262061,0.24100333,Gary
50,0.16917168,0.257779165,0.077777349,0.268491631,0.11771816,0.109062014,Bobby
51,0.16557487,0.129736463,0.174476536,0.142312844,0.101397938,0.286501348,Alex
52,0.139699332,0.105283048,0.296595641,0.116638252,0.090322112,0.251461616,Mary
53,0.155824486,0.088390266,0.10447541,0.104679518,0.428765253,0.117865068,Daisy
54,0.349621589,0.098150414,0.182793399,0.095666134,0.07607812,0.197690344,Gary
55,0.08881787,0.244304422,0.133780452,0.23797143,0.059615538,0.235510289,Ursula
56,0.097457976,0.173100829,0.152506871,0.373205287,0.065005939,0.138723099,Bobby
57,0.120222491,0.151851915,0.22845394,0.070606309,0.069264925,0.35960042,Mary
58,0.105351158,0.123407169,0.113551153,0.467393744,0.069680033,0.120616744,Bobby
59,0.082475815,0.323589831,0.208013439,0.048459419,0.059958082,0.277503414,Mary
60,0.082218889,0.213396763,0.355487392,0.054962414,0.069504332,0.224430211,Alex
61,0.111496487,0.200695667,0.15662903,0.319534469,0.060409978,0.151234368,Bobby
62,0.097306823,0.33807194,0.197362957,0.142547424,0.072686422,0.152024433,Ursula
63,0.233172482,0.088130347,0.359770195,0.091454575,0.101853266,0.125619136,Mary
64,0.272933487,0.107222067,0.142534299,0.273804249,0.064229196,0.139276702,Bobby
65,0.235450285,0.093029169,0.27404272,0.252233518,0.053521301,0.091723006,Mary
66,0.08676612,0.391264319,0.085917621,0.107054575,0.132236259,0.196761106,Ursula
67,0.082179355,0.201929155,0.082434379,0.384321481,0.083472437,0.165663192,Bobby
68,0.276366035,0.085999173,0.311863866,0.083648178,0.072771279,0.169351469,Mary
69,0.064202045,0.109538507,0.086564805,0.090251108,0.203238543,0.446204992,Daisy
70,0.053630262,0.161270999,0.066420282,0.323346475,0.132167135,0.263164848,Alex
71,0.282203156,0.08596404,0.328643926,0.087452436,0.133890888,0.081845555,Mary
72,0.07676318,0.214905696,0.09001866,0.375398392,0.124485653,0.118428419,Bobby
73,0.38779327,0.084500217,0.250901591,0.0811936,0.119396971,0.07621435,Gary
74,0.217781572,0.084620854,0.410908614,0.076153508,0.124240998,0.086294455,Mary
75,0.297529796,0.282424499,0.210320634,0.060647979,0.090328907,0.058748186,Ursula
76,0.084144087,0.096790054,0.089824063,0.305882538,0.252742354,0.170616905,Bobby
77,0.135083313,0.195768763,0.288702163,0.162345558,0.137076534,0.081023669,Mary
78,0.104450793,0.142713188,0.395730384,0.199124904,0.103095873,0.054884858,Bobby
79,0.082863664,0.103892267,0.223987743,0.354238045,0.077502268,0.157516013,Alex
80,0.082511283,0.094690522,0.130164805,0.120935907,0.456065921,0.115631561,Daisy
81,0.500779812,0.141434021,0.160914512,0.083297299,0.027432506,0.086141851,Mary
82,0.099088813,0.354384289,0.098773316,0.168085507,0.104990957,0.174677117,Ursula
83,0.10508275,0.224070106,0.10178,0.289666283,0.070092412,0.20930845,Bobby
84,0.170649638,0.10732848,0.244285169,0.157947863,0.050015085,0.269773764,Mary
85,0.181551915,0.105937795,0.17459279,0.122560249,0.080688178,0.334669072,Alex
86,0.113999708,0.123995921,0.160362323,0.273096067,0.079183761,0.24936222,Bobby
87,0.086601967,0.497944342,0.11304212,0.107573199,0.105931884,0.088906487,Ursula
88,0.085209616,0.151877389,0.112340338,0.412797759,0.140020687,0.097754211,Bobby
89,0.320147498,0.061077295,0.345047504,0.0669763,0.058839707,0.147911696,Mary
90,0.211136479,0.05621448,0.176278031,0.064618426,0.05912611,0.432626473,Alex
91,0.314998677,0.069544605,0.344299663,0.087515879,0.074939117,0.108702059,Mary
92,0.064771215,0.058089619,0.068508542,0.651679069,0.097791661,0.059159893,Bobby
93,0.164084327,0.108094884,0.442517568,0.050420494,0.140338786,0.094543941,Mary
94,0.127211075,0.096023225,0.154776331,0.048893281,0.130408648,0.44268744,Alex
95,0.435530822,0.118759085,0.213984714,0.04154947,0.091015882,0.099160027,Gary
96,0.146095209,0.122753409,0.141517036,0.381012,0.078046266,0.13057608,Bobby
97,0.085267556,0.16344695,0.081953758,0.143909793,0.429351561,0.096070383,Daisy
98,0.182515664,0.080747886,0.422888055,0.127435329,0.068404128,0.118008939,Mary
99,0.232502553,0.302352499,0.190510544,0.126907741,0.059716272,0.08801039,Ursula
100,0.096846717,0.109007107,0.085561425,0.382286085,0.180393364,0.145905301,Bobby
101,0.13973724,0.15667105,0.416666552,0.10390619,0.070820202,0.112198765,Mary
102,0.091344658,0.110361628,0.340218321,0.319202715,0.049391005,0.089481674,Bobby
103,0.110069938,0.158400235,0.233296971,0.319952769,0.057298307,0.12098178,Bobby
104,0.112271868,0.161010554,0.19883872,0.352911861,0.056649141,0.118317856,Bobby
105,0.12767402,0.277221718,0.111816002,0.305525915,0.058561714,0.119200631,Bobby
pineapple_on_pizzaA,Borys Lang,manymagpie,Attack Helicopter,moonmoth,user,,
0,1,0,0,0,Borys Lang,,
1,1,0,0,0,Borys Lang,,
2,0.139679269,0.860320731,0,0,manymagpie,,
3,0.15416123,0.84583877,0,0,manymagpie,,
4,0.192587967,0.807412033,0,0,manymagpie,,
5,0.374217816,0.155729467,0.470052717,0,Attack Helicopter,,
6,0.572802838,0.124727771,0.302469391,0,Borys Lang,,
7,0.075666344,0.447696871,0.122120673,0.354516112,moonmoth,,
8,0.095592341,0.442174012,0.144416277,0.317817371,manymagpie,,
9,0.432525089,0.152226435,0.123561712,0.291686764,Borys Lang,,
10,0.358750308,0.160237496,0.307020408,0.173991788,Borys Lang,,
11,0.345791461,0.276324113,0.281049599,0.096834827,manymagpie,,
12,0.317770896,0.104299113,0.093090343,0.484839647,Borys Lang,,
13,0.32179101,0.2814716,0.225577205,0.171160186,Borys Lang,,
14,0.354627361,0.244201767,0.307829939,0.093340932,manymagpie,,
15,0.183439454,0.33659897,0.384464943,0.095496633,manymagpie,,
16,0.142912022,0.357581525,0.408294386,0.091212068,Attack Helicopter,,
17,0.330794831,0.105022653,0.077612262,0.486570255,Borys Lang,,
18,0.216613186,0.411207537,0.115995589,0.256183688,manymagpie,,
19,0.208272333,0.25813253,0.350069503,0.183525635,Attack Helicopter,,
20,0.171779237,0.222757544,0.447775223,0.157687995,Attack Helicopter,,
21,0.516392349,0.139647812,0.111663946,0.232295893,Borys Lang,,
22,0.090076234,0.362256171,0.367834192,0.179833402,Attack Helicopter,,
23,0.298221957,0.2161162,0.177118046,0.308543797,Borys Lang,,
24,0.25728773,0.230400382,0.355686927,0.156624961,Attack Helicopter,,
25,0.310514214,0.169823826,0.336339937,0.183322023,Attack Helicopter,,
26,0.564537377,0.154480202,0.161173269,0.119809153,Borys Lang,,
27,0.278444895,0.159555776,0.307715611,0.254283717,Borys Lang,,
28,0.200659164,0.392099143,0.154756103,0.25248559,manymagpie,,
29,0.459300361,0.101900133,0.220344458,0.218455048,Attack Helicopter,,
30,0.31476852,0.185714535,0.293675724,0.205841221,Attack Helicopter,,
31,0.173772018,0.329913282,0.150855014,0.345459685,manymagpie,,
32,0.158742992,0.466400616,0.152041391,0.222815001,manymagpie,,
33,0.501824275,0.216614764,0.119404189,0.162156772,Borys Lang,,
34,0.454801283,0.152679663,0.160218737,0.232300316,Borys Lang,,
35,0.238061939,0.370842692,0.158228018,0.232867351,manymagpie,,
36,0.143267051,0.181343846,0.36873546,0.306653643,Attack Helicopter,,
37,0.252296933,0.414305828,0.157251642,0.176145597,manymagpie,,
38,0.117325928,0.12033461,0.608526819,0.153812644,Attack Helicopter,,
39,0.415437899,0.160835882,0.136706405,0.287019814,Borys Lang,,
